Starting 30 runs of blast test...
Run 1: TPS=~33333 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 2: TPS=~20000 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 3: TPS=~25000 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 4: TPS=~20000 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 5: TPS=~16666 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 6: TPS=~16666 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 7: TPS=~16666 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 8: TPS=~14285 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 9: TPS=~14285 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 10: TPS=~12500 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 11: TPS=~14285 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 12: TPS=~9090 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 13: TPS=~12500 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 14: TPS=~12500 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 15: TPS=~7692 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 16: TPS=~10000 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 17: TPS=~11111 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 18: TPS=~10000 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 19: TPS=~7692 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 20: TPS=~7692 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 21: TPS=~7692 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 22: TPS=~5882 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 23: TPS=~9090 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 24: TPS=~5555 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 25: TPS=~6666 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 26: TPS=~5555 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 27: TPS=~7142 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 28: TPS=~5882 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 29: TPS=~6250 | MaxBlock= | ForkStatus=SAFE (0 forks)
Run 30: TPS=~5882 | MaxBlock= | ForkStatus=SAFE (0 forks)
